case_id,requested_time_min_s,seaward_distance_m,landward_distance_m,side,zone,rank,point_id,max_displayed_speed_mps,max_frame_index,max_time_s,displayed_frame_count,x_m,y_m,shoreline_distance_m,b0_m,b_current_at_max_m,h_at_max_m,dynamic_wet_at_max,u_at_max_mps,v_at_max_mps,source_topo_id,native_dx_m,native_dy_m,effective_resolution_m,source_precedence_rank,colorbar_fraction_at_max,colorbar_saturated_at_max
aqaba_lsa_c10_angm25,900,1000,500,east,seaward,9,996282,14.3789776687,66,3540,11,109543.023438,3266664,38.71755846,-38.3387510275,-0.952277213335,0.463922232389,true,8.93569374084,11.2653617859,topo-bathy.tt3,30,30,30,1,0.523288247088,false
aqaba_lsa_c10_angm25,900,1000,500,east,seaward,10,664209,14.244325838,49,1500,4,85053.90625,3154602.25,1.41806342858,-0.250092803387,-2.56299197674,0.96789753437,true,7.96532344818,11.8090829849,topo-bathy.tt3,30,30,30,1,0.518387918144,false
aqaba_lsa_c10_angm25,900,1000,500,west,combined_coastal,1,674054,7.58303018648,44,900,1,59124.25,3157813.5,79.116836165,-4.51100718677,-4.38289034367,2.38415288925,true,-1.39486980438,7.4536356926,topo-bathy.tt3,30,30,30,1,0.275966112844,false
aqaba_lsa_c10_angm25,900,1000,500,west,combined_coastal,2,668231,7.25247065007,44,900,2,56513.2773438,3156012.75,27.542556882,-1.39349405977,-2.61085531116,3.10378193855,true,-2.43418765068,6.83176851273,topo-bathy.tt3,30,30,30,1,0.263936194977,false
aqaba_lsa_c10_angm25,900,1000,500,west,combined_coastal,3,597624,7.13316457818,44,900,1,49760.7617188,3131523.75,71.9818734715,-3.52274796444,-3.0885335058,3.2369325161,true,-4.86047267914,-5.22090435028,topo-bathy.tt3,30,30,30,1,0.25959433795,false
aqaba_lsa_c10_angm25,900,1000,500,west,combined_coastal,4,696803,6.85377274734,44,900,2,61255.0429688,3164926,5.04969664372,0.517811077027,-2.26461598277,0.278365343809,true,6.44932031631,-2.3195836544,topo-bathy.tt3,30,30,30,1,0.249426545442,false
aqaba_lsa_c10_angm25,900,1000,500,west,combined_coastal,5,673751,6.74116486755,44,900,1,59214.28125,3157753.5,83.8041448998,-3.65355925761,-3.5019056797,2.73693203926,true,-0.878739774227,6.68364572525,topo-bathy.tt3,30,30,30,1,0.245328452978,false
aqaba_lsa_c10_angm25,900,1000,500,west,combined_coastal,6,690248,6.6907627327,46,1140,1,60924.9179688,3162315.25,47.3527971402,-2.18417746333,-2.39928239584,1.68662035465,true,-3.30580663681,5.81703948975,topo-bathy.tt3,30,30,30,1,0.243494188721,false
aqaba_lsa_c10_angm25,900,1000,500,west,combined_coastal,7,590659,6.64947994929,44,900,1,50631.0859375,3128912.75,201.194764773,-2.96044226158,-4.03067362309,1.05162131786,true,5.99049043655,2.88610601425,topo-bathy.tt3,30,30,30,1,0.241991801286,false
aqaba_lsa_c10_angm25,900,1000,500,west,combined_coastal,8,591864,6.57806188418,44,900,1,50661.0976562,3129272.75,109.731562001,-3.83503468684,-3.63881528378,2.65489983559,true,-3.24133253098,-5.72404241562,topo-bathy.tt3,30,30,30,1,0.239392712884,false
aqaba_lsa_c10_angm25,900,1000,500,west,combined_coastal,9,672632,6.43330411403,47,1260,1,59964.5625,3157513.25,116.763948884,-3.90684903977,-3.70422655344,0.894053995609,true,4.45456647873,-4.6415772438,topo-bathy.tt3,30,30,30,1,0.234124602623,false
aqaba_lsa_c10_angm25,900,1000,500,west,combined_coastal,10,674827,6.33584451168,47,1260,3,59064.2265625,3157963.5,18.847661524,-2.97801059517,-2.76471722126,1.44945836067,true,-5.9771270752,-2.1016368866,topo-bathy.tt3,30,30,30,1,0.230577795218,false
aqaba_lsa_c10_angm25,900,1000,500,west,landward_inundated,1,696803,6.85377274734,44,900,2,61255.0429688,3164926,5.04969664372,0.517811077027,-2.26461598277,0.278365343809,true,6.44932031631,-2.3195836544,topo-bathy.tt3,30,30,30,1,0.249426545442,false
aqaba_lsa_c10_angm25,900,1000,500,west,landward_inundated,2,617076,6.23316559591,45,1020,1,49580.6953125,3138696.25,33.4243073592,3.54243762818,0.287623643875,0.475472688675,true,6.15517282486,-0.982955157757,topo-bathy.tt3,30,30,30,1,0.226841043476,false
aqaba_lsa_c10_angm25,900,1000,500,west,landward_inundated,3,616788,5.9491799425,45,1020,1,49580.6953125,3138576.25,37.8740032272,4.28175363343,0.756453990936,0.602093100548,true,5.78138017654,-1.40299153328,topo-bathy.tt3,30,30,30,1,0.216506069864,false
aqaba_lsa_c10_angm25,900,1000,500,west,landward_inundated,4,693602,5.81052822822,44,900,1,60864.8984375,3163755.75,8.46542613517,1.58266468605,-1.29088616371,0.363443434238,true,5.27318716049,2.44043755531,topo-bathy.tt3,30,30,30,1,0.211460174795,false
aqaba_lsa_c10_angm25,900,1000,500,west,landward_inundated,5,687579,5.76179501321,49,1500,2,61315.0664062,3161384.75,2.63630106173,0.506293930819,-4.80104923248,0.723170280457,true,4.71209669113,-3.31578445435,topo-bathy.tt3,30,30,30,1,0.209686646854,false
aqaba_lsa_c10_angm25,900,1000,500,west,landward_inundated,6,684464,5.73957693501,46,1140,1,61044.9648438,3160244.25,16.2904588471,1.33851833178,0.961134254932,0.526622593403,true,5.13944625854,-2.55515861511,topo-bathy.tt3,30,30,30,1,0.208878073431,false
aqaba_lsa_c10_angm25,900,1000,500,west,landward_inundated,7,687243,5.59720653774,44,900,1,61375.0859375,3161264.75,0.729150500411,2.04263101331,0.98561167717,2.69025874138,true,-1.43525147438,5.41006231308,topo-bathy.tt3,30,30,30,1,0.203696845854,false
aqaba_lsa_c10_angm25,900,1000,500,west,landward_inundated,8,613484,5.51922550293,48,1380,1,49580.6953125,3137165.75,24.054620978,2.09624124167,2.13972982764,0.460846811533,true,5.45202493668,0.85864675045,topo-bathy.tt3,30,30,30,1,0.200858913982,false
aqaba_lsa_c10_angm25,900,1000,500,west,landward_inundated,9,688894,5.49815161435,50,1620,2,61165.0078125,3161835,3.85449152913,0.0168940027711,-0.0272590517998,0.497519880533,true,5.21399688721,1.74467980862,topo-bathy.tt3,30,30,30,1,0.200091980584,false
aqaba_lsa_c10_angm25,900,1000,500,west,landward_inundated,10,626773,5.42926659849,45,1020,2,50691.109375,3142447.75,16.0187885629,1.26847567053,-0.767620354891,0.404506444931,true,5.32839727402,-1.04169011116,topo-bathy.tt3,30,30,30,1,0.197585076405,false
aqaba_lsa_c10_angm25,900,1000,500,west,seaward,1,674054,7.58303018648,44,900,1,59124.25,3157813.5,79.116836165,-4.51100718677,-4.38289034367,2.38415288925,true,-1.39486980438,7.4536356926,topo-bathy.tt3,30,30,30,1,0.275966112844,false
aqaba_lsa_c10_angm25,900,1000,500,west,seaward,2,668231,7.25247065007,44,900,2,56513.2773438,3156012.75,27.542556882,-1.39349405977,-2.61085531116,3.10378193855,true,-2.43418765068,6.83176851273,topo-bathy.tt3,30,30,30,1,0.263936194977,false
aqaba_lsa_c10_angm25,900,1000,500,west,seaward,3,597624,7.13316457818,44,900,1,49760.7617188,3131523.75,71.9818734715,-3.52274796444,-3.0885335058,3.2369325161,true,-4.86047267914,-5.22090435028,topo-bathy.tt3,30,30,30,1,0.25959433795,false
aqaba_lsa_c10_angm25,900,1000,500,west,seaward,4,673751,6.74116486755,44,900,1,59214.28125,3157753.5,83.8041448998,-3.65355925761,-3.5019056797,2.73693203926,true,-0.878739774227,6.68364572525,topo-bathy.tt3,30,30,30,1,0.245328452978,false
aqaba_lsa_c10_angm25,900,1000,500,west,seaward,5,690248,6.6907627327,46,1140,1,60924.9179688,3162315.25,47.3527971402,-2.18417746333,-2.39928239584,1.68662035465,true,-3.30580663681,5.81703948975,topo-bathy.tt3,30,30,30,1,0.243494188721,false
aqaba_lsa_c10_angm25,900,1000,500,west,seaward,6,590659,6.64947994929,44,900,1,50631.0859375,3128912.75,201.194764773,-2.96044226158,-4.03067362309,1.05162131786,true,5.99049043655,2.88610601425,topo-bathy.tt3,30,30,30,1,0.241991801286,false
aqaba_lsa_c10_angm25,900,1000,500,west,seaward,7,591864,6.57806188418,44,900,1,50661.0976562,3129272.75,109.731562001,-3.83503468684,-3.63881528378,2.65489983559,true,-3.24133253098,-5.72404241562,topo-bathy.tt3,30,30,30,1,0.239392712884,false
aqaba_lsa_c10_angm25,900,1000,500,west,seaward,8,672632,6.43330411403,47,1260,1,59964.5625,3157513.25,116.763948884,-3.90684903977,-3.70422655344,0.894053995609,true,4.45456647873,-4.6415772438,topo-bathy.tt3,30,30,30,1,0.234124602623,false
aqaba_lsa_c10_angm25,900,1000,500,west,seaward,9,674827,6.33584451168,47,1260,3,59064.2265625,3157963.5,18.847661524,-2.97801059517,-2.76471722126,1.44945836067,true,-5.9771270752,-2.1016368866,topo-bathy.tt3,30,30,30,1,0.230577795218,false
aqaba_lsa_c10_angm25,900,1000,500,west,seaward,10,690330,6.30867767328,46,1140,2,60924.9179688,3162345.25,65.2986852981,-2.72495482402,-2.95502614975,1.45266091824,true,-2.9875524044,5.556432724,topo-bathy.tt3,30,30,30,1,0.229589123591,false
aqaba_lsb_nc10_angm20,900,1000,500,east,combined_coastal,1,656080,27.7789975221,51,1740,2,83883.46875,3151871.25,3.31039869469,3.10748887676,0.298270724481,0.00312534742989,true,3.51830554008,-27.5552940369,topo-bathy.tt3,30,30,30,1,0.946047071698,false
aqaba_lsb_nc10_angm20,900,1000,500,east,combined_coastal,2,685243,18.4864156385,49,1500,1,88115.046875,3160604.5,0.59804499057,3.11016242109,-7.25083303452,2.51764345169,true,-5.03238630295,-17.7882728577,topo-bathy.tt3,30,30,30,1,0.629577052488,false
aqaba_lsb_nc10_angm20,900,1000,500,east,combined_coastal,3,682869,18.4476041902,48,1380,1,87995,3159704.25,1.16055041483,-2.72758438587,1.32570567727,0.43139526248,true,17.8179035187,-4.77874612808,topo-bathy.tt3,30,30,30,1,0.628255282074,false
aqaba_lsb_nc10_angm20,900,1000,500,east,combined_coastal,4,650130,17.4609514572,64,3300,8,82623,3149800.5,18.0750893991,3.26085157871,-3.1873190403,1.02615714073,true,-14.4676332474,-9.77611446381,topo-bathy.tt3,30,30,30,1,0.59465364011,false
aqaba_lsb_nc10_angm20,900,1000,500,east,combined_coastal,5,667837,17.0890655957,59,2700,1,85293.9921875,3155922.75,19.3157416175,-22.3363805299,1.95402824134,0.096527941525,true,17.0738792419,0.720285058022,topo-bathy.tt3,30,30,30,1,0.581988621151,false
aqaba_lsb_nc10_angm20,900,1000,500,east,combined_coastal,6,685241,16.8576261061,48,1380,1,88055.0234375,3160604.5,27.0776351643,-15.0725083611,-29.5827236176,21.1795406342,true,9.54923629761,13.8921432495,topo-bathy.tt3,30,30,30,1,0.574106671803,false
aqaba_lsb_nc10_angm20,900,1000,500,east,combined_coastal,7,650129,16.3491984186,56,2340,5,82592.9921875,3149800.5,6.13736733955,2.70787844508,-3.1873190999,0.852624475956,true,-10.8194570541,-12.2570648193,topo-bathy.tt3,30,30,30,1,0.556791557228,false
aqaba_lsb_nc10_angm20,900,1000,500,east,combined_coastal,8,726808,16.1323966592,45,1020,1,88085.0390625,3175700,30.0487471502,-26.4059117811,-2.89658397436,0.812879025936,true,7.93042182922,-14.0485811234,topo-bathy.tt3,30,30,30,1,0.549408113333,false
aqaba_lsb_nc10_angm20,900,1000,500,east,combined_coastal,9,679373,15.8678256878,44,900,1,86914.6015625,3158803.75,15.103287375,-13.4391278463,1.08247029781,1.07995975018,true,-12.0664405823,-10.3048000336,topo-bathy.tt3,30,30,30,1,0.540397831642,false
aqaba_lsb_nc10_angm20,900,1000,500,east,combined_coastal,10,663720,15.8351454551,51,1740,1,84603.7421875,3154512.25,5.9491496781,-2.2486919569,-5.5644903183,2.41697955132,true,14.7047185898,5.87563467026,topo-bathy.tt3,30,30,30,1,0.539284867129,false
aqaba_lsb_nc10_angm20,900,1000,500,east,landward_inundated,1,656080,27.7789975221,51,1740,2,83883.46875,3151871.25,3.31039869469,3.10748887676,0.298270724481,0.00312534742989,true,3.51830554008,-27.5552940369,topo-bathy.tt3,30,30,30,1,0.946047071698,false
aqaba_lsb_nc10_angm20,900,1000,500,east,landward_inundated,2,685243,18.4864156385,49,1500,1,88115.046875,3160604.5,0.59804499057,3.11016242109,-7.25083303452,2.51764345169,true,-5.03238630295,-17.7882728577,topo-bathy.tt3,30,30,30,1,0.629577052488,false
aqaba_lsb_nc10_angm20,900,1000,500,east,landward_inundated,3,650130,17.4609514572,64,3300,8,82623,3149800.5,18.0750893991,3.26085157871,-3.1873190403,1.02615714073,true,-14.4676332474,-9.77611446381,topo-bathy.tt3,30,30,30,1,0.59465364011,false
aqaba_lsb_nc10_angm20,900,1000,500,east,landward_inundated,4,650129,16.3491984186,56,2340,5,82592.9921875,3149800.5,6.13736733955,2.70787844508,-3.1873190999,0.852624475956,true,-10.8194570541,-12.2570648193,topo-bathy.tt3,30,30,30,1,0.556791557228,false
aqaba_lsb_nc10_angm20,900,1000,500,east,landward_inundated,5,666627,15.7867097221,50,1620,2,85293.9921875,3155472.5,12.8477645188,3.20177259788,-0.0565033257008,0.238544985652,true,-3.21906590462,15.4550256729,topo-bathy.tt3,30,30,30,1,0.53763533016,false
aqaba_lsb_nc10_angm20,900,1000,500,east,landward_inundated,6,649851,15.4220538002,50,1620,1,82532.96875,3149710.5,12.8212838066,1.85215271115,-2.1758441329,0.603881061077,true,7.68154811859,13.3728666306,topo-bathy.tt3,30,30,30,1,0.525216535466,false
aqaba_lsb_nc10_angm20,900,1000,500,east,landward_inundated,7,653744,15.2503097822,54,2100,12,83583.359375,3151031,11.978036355,3.63718949358,-2.05194807053,0.959867477417,true,-3.50576400757,-14.8418855667,topo-bathy.tt3,30,30,30,1,0.519367586985,false
aqaba_lsb_nc10_angm20,900,1000,500,east,landward_inundated,8,647333,15.1563669697,64,3300,14,82352.8984375,3148780,11.0292356639,2.6112445168,-2.61446255445,0.733353674412,true,-13.0210371017,-7.75680685043,topo-bathy.tt3,30,30,30,1,0.516168251855,false
aqaba_lsb_nc10_angm20,900,1000,500,east,landward_inundated,9,653743,15.0396828273,60,2820,12,83553.34375,3151031,4.54949422808,3.09225085227,-2.05194807053,1.02918386459,true,-3.41168832779,-14.647608757,topo-bathy.tt3,30,30,30,1,0.512194433463,false
aqaba_lsb_nc10_angm20,900,1000,500,east,landward_inundated,10,666626,14.9831368763,53,1980,4,85263.984375,3155472.5,15.0526631298,3.49056520546,1.02673751116,0.394506633282,true,2.80090999603,14.7190113068,topo-bathy.tt3,30,30,30,1,0.510268693297,false
aqaba_lsb_nc10_angm20,900,1000,500,east,seaward,1,682869,18.4476041902,48,1380,1,87995,3159704.25,1.16055041483,-2.72758438587,1.32570567727,0.43139526248,true,17.8179035187,-4.77874612808,topo-bathy.tt3,30,30,30,1,0.628255282074,false
aqaba_lsb_nc10_angm20,900,1000,500,east,seaward,2,667837,17.0890655957,59,2700,1,85293.9921875,3155922.75,19.3157416175,-22.3363805299,1.95402824134,0.096527941525,true,17.0738792419,0.720285058022,topo-bathy.tt3,30,30,30,1,0.581988621151,false
aqaba_lsb_nc10_angm20,900,1000,500,east,seaward,3,685241,16.8576261061,48,1380,1,88055.0234375,3160604.5,27.0776351643,-15.0725083611,-29.5827236176,21.1795406342,true,9.54923629761,13.8921432495,topo-bathy.tt3,30,30,30,1,0.574106671803,false
aqaba_lsb_nc10_angm20,900,1000,500,east,seaward,4,726808,16.1323966592,45,1020,1,88085.0390625,3175700,30.0487471502,-26.4059117811,-2.89658397436,0.812879025936,true,7.93042182922,-14.0485811234,topo-bathy.tt3,30,30,30,1,0.549408113333,false
aqaba_lsb_nc10_angm20,900,1000,500,east,seaward,5,679373,15.8678256878,44,900,1,86914.6015625,3158803.75,15.103287375,-13.4391278463,1.08247029781,1.07995975018,true,-12.0664405823,-10.3048000336,topo-bathy.tt3,30,30,30,1,0.540397831642,false
aqaba_lsb_nc10_angm20,900,1000,500,east,seaward,6,663720,15.8351454551,51,1740,1,84603.7421875,3154512.25,5.9491496781,-2.2486919569,-5.5644903183,2.41697955132,true,14.7047185898,5.87563467026,topo-bathy.tt3,30,30,30,1,0.539284867129,false
aqaba_lsb_nc10_angm20,900,1000,500,east,seaward,7,676513,15.532480784,52,1860,2,86434.421875,3158293.75,1.97175893394,-0.210543844593,-2.05233210325,2.5640847683,true,-11.657292366,-10.2647695541,topo-bathy.tt3,30,30,30,1,0.528977258818,false
aqaba_lsb_nc10_angm20,900,1000,500,east,seaward,8,681042,15.4630882847,45,1020,1,87544.8359375,3159104,6.36113216523,-5.42963061661,-0.744032204151,1.37743425369,true,-14.7605524063,-4.60794878006,topo-bathy.tt3,30,30,30,1,0.52661401404,false
aqaba_lsb_nc10_angm20,900,1000,500,east,seaward,9,665484,15.4558436387,62,3060,7,84783.8046875,3155082.5,43.7206574552,-14.7220649337,-20.6756219864,15.1259307861,true,-12.0867090225,-9.63299369812,topo-bathy.tt3,30,30,30,1,0.526367288933,false
aqaba_lsb_nc10_angm20,900,1000,500,east,seaward,10,680380,14.7855174202,55,2220,1,87244.71875,3158984,34.4283159868,-19.1527015477,-6.58545064926,4.26292610168,true,10.001999855,10.8890552521,topo-bathy.tt3,30,30,30,1,0.503538525744,false
aqaba_lsb_nc10_angm20,900,1000,500,west,combined_coastal,1,670903,12.2636008429,54,2100,1,57173.5234375,3157033.25,3.15420743286,-0.134212446439,-0.283672726713,0.00254667457193,true,-0.587123572826,12.2495384216,topo-bathy.tt3,30,30,30,1,0.417651632555,false
