case_id,requested_time_min_s,effective_first_selected_time_s,frame_index,time_s,seaward_distance_m,landward_distance_m,side,zone,candidate_count_before_global_sampling,displayed_arrow_count,displayed_speed_max_mps,displayed_top10_mean_speed_mps,displayed_top10_count,displayed_max_point_id,displayed_max_x_m,displayed_max_y_m,displayed_max_u_mps,displayed_max_v_mps,displayed_max_h_m,displayed_max_m,displayed_max_b0_m,displayed_max_b_current_m,displayed_max_shoreline_distance_m,displayed_max_static_zone,displayed_max_dynamic_wet,displayed_max_source_topo_id,displayed_max_native_dx_m,displayed_max_native_dy_m,displayed_max_effective_resolution_m,displayed_max_source_precedence_rank,colorbar_fraction,colorbar_saturated
aqaba_lsa_c10_angm25,900,900,48,1380,1000,500,west,landward_inundated,186549,114,5.51922550293,3.97076902644,10,613484,49580.6953125,3137165.75,5.45202493668,0.85864675045,0.460846811533,0,2.09624124167,2.13972982764,24.054620978,landward,true,topo-bathy.tt3,30,30,30,1,0.200858913982,false
aqaba_lsa_c10_angm25,900,900,48,1380,1000,500,west,combined_coastal,186549,400,5.51922550293,4.99048555034,10,613484,49580.6953125,3137165.75,5.45202493668,0.85864675045,0.460846811533,0,2.09624124167,2.13972982764,24.054620978,landward,true,topo-bathy.tt3,30,30,30,1,0.200858913982,false
aqaba_lsa_c10_angm25,900,900,49,1500,1000,500,east,seaward,191691,266,14.244325838,10.8991063821,10,664209,85053.90625,3154602.25,7.96532344818,11.8090829849,0.96789753437,0,-0.250092803387,-2.56299197674,1.41806342858,seaward,true,topo-bathy.tt3,30,30,30,1,0.518387918144,false
aqaba_lsa_c10_angm25,900,900,49,1500,1000,500,east,landward_inundated,191691,51,16.2498599584,10.9521300889,10,650128,82623,3149800.5,-13.631064415,-8.84601783752,1.89267420769,0,3.26085157871,-3.1873190403,18.0750893991,landward,true,topo-bathy.tt3,30,30,30,1,0.591374500258,false
aqaba_lsa_c10_angm25,900,900,49,1500,1000,500,east,combined_coastal,191691,317,16.2498599584,12.8654585131,10,650128,82623,3149800.5,-13.631064415,-8.84601783752,1.89267420769,0,3.26085157871,-3.1873190403,18.0750893991,landward,true,topo-bathy.tt3,30,30,30,1,0.591374500258,false
aqaba_lsa_c10_angm25,900,900,49,1500,1000,500,west,seaward,191691,273,5.86552393394,5.16953043419,10,660694,54922.6835938,3153551.75,-2.06160855293,-5.49127864838,0.434754997492,0,-5.05596659968,-3.52114883065,20.2447310866,seaward,true,topo-bathy.tt3,30,30,30,1,0.213461610996,false
aqaba_lsa_c10_angm25,900,900,49,1500,1000,500,west,landward_inundated,191691,103,5.76179501321,4.1573674928,10,687579,61315.0664062,3161384.75,4.71209669113,-3.31578445435,0.723170280457,0,0.506293930819,-4.80104923248,2.63630106173,landward,true,topo-bathy.tt3,30,30,30,1,0.209686646854,false
aqaba_lsa_c10_angm25,900,900,49,1500,1000,500,west,combined_coastal,191691,376,5.86552393394,5.32876735073,10,660694,54922.6835938,3153551.75,-2.06160855293,-5.49127864838,0.434754997492,0,-5.05596659968,-3.52114883065,20.2447310866,seaward,true,topo-bathy.tt3,30,30,30,1,0.213461610996,false
aqaba_lsa_c10_angm25,900,900,50,1620,1000,500,east,seaward,202892,275,15.739074614,11.3205848828,10,669734,85504.0703125,3156553,15.657204628,-1.60325074196,1.04729831219,0,-2.94090185383,-1.21296842396,23.7704479582,seaward,true,topo-bathy.tt3,30,30,30,1,0.57278569835,false
aqaba_lsa_c10_angm25,900,900,50,1620,1000,500,east,landward_inundated,202892,55,14.2905982809,10.5882438027,10,620993,78811.578125,3140227,-13.5912408829,-4.41580915451,0.46520113945,0,1.18148703814,-0.670684590936,1.81450025903,landward,true,topo-bathy.tt3,30,30,30,1,0.520071892212,false
