side,station_id,source_topo_id,model_grid_spacing_m,native_dx_m,native_dy_m,effective_resolution_m,raw_source_class_value,raw_source_id,raw_source_native_resolution_m,raw_source_multibeam,raw_source_confidence,source_overlap_count,source_precedence_rank,multibeam_coverage,distance_to_raw_source_boundary_m,distance_to_resolution_boundary_m,distance_to_raw_source_boundary_censored
east,east_0271,topo-bathy.tt3,30,30,30,30,3,gmrt_shore_blend,54,unknown,mixed_blend,2,1,unknown,69.1441909042,69.1441909042,false
east,east_0272,topo-bathy.tt3,30,30,30,30,3,gmrt_shore_blend,54,unknown,mixed_blend,2,1,unknown,87.4612520908,87.4612520908,false
east,east_0273,topo-bathy.tt3,30,30,30,30,1,copernicus_a2_land_core,30,false,high,1,1,false,30.9222222222,30.9222222222,false
east,east_0274,topo-bathy.tt3,30,30,30,30,1,copernicus_a2_land_core,30,false,high,1,1,false,30.9222222222,30.9222222222,false
east,east_0275,topo-bathy.tt3,30,30,30,30,1,copernicus_a2_land_core,30,false,high,1,1,false,30.9222222222,30.9222222222,false
east,east_0276,topo-bathy.tt3,30,30,30,30,3,gmrt_shore_blend,54,unknown,mixed_blend,2,1,unknown,69.1441909042,69.1441909042,false
east,east_0277,topo-bathy.tt3,30,30,30,30,3,gmrt_shore_blend,54,unknown,mixed_blend,2,1,unknown,61.8444444444,61.8444444444,false
east,east_0278,topo-bathy.tt3,30,30,30,30,3,gmrt_shore_blend,54,unknown,mixed_blend,2,1,unknown,30.9222222222,30.9222222222,false
east,east_0279,topo-bathy.tt3,30,30,30,30,3,gmrt_shore_blend,54,unknown,mixed_blend,2,1,unknown,241.510276089,241.510276089,false
east,east_0280,topo-bathy.tt3,30,30,30,30,1,copernicus_a2_land_core,30,false,high,1,1,false,30.9222222222,30.9222222222,false
east,east_0281,topo-bathy.tt3,30,30,30,30,1,copernicus_a2_land_core,30,false,high,1,1,false,30.9222222222,30.9222222222,false
east,east_0282,topo-bathy.tt3,30,30,30,30,1,copernicus_a2_land_core,30,false,high,1,1,false,30.9222222222,30.9222222222,false
east,east_0283,topo-bathy.tt3,30,30,30,30,1,copernicus_a2_land_core,30,false,high,1,1,false,30.9222222222,30.9222222222,false
east,east_0284,topo-bathy.tt3,30,30,30,30,1,copernicus_a2_land_core,30,false,high,1,1,false,30.9222222222,30.9222222222,false
east,east_0285,topo-bathy.tt3,30,30,30,30,1,copernicus_a2_land_core,30,false,high,1,1,false,30.9222222222,30.9222222222,false
east,east_0286,topo-bathy.tt3,30,30,30,30,3,gmrt_shore_blend,54,unknown,mixed_blend,2,1,unknown,30.9222222222,30.9222222222,false
east,east_0287,topo-bathy.tt3,30,30,30,30,3,gmrt_shore_blend,54,unknown,mixed_blend,2,1,unknown,30.9222222222,30.9222222222,false
east,east_0288,topo-bathy.tt3,30,30,30,30,1,copernicus_a2_land_core,30,false,high,1,1,false,30.9222222222,30.9222222222,false
east,east_0289,topo-bathy.tt3,30,30,30,30,1,copernicus_a2_land_core,30,false,high,1,1,false,30.9222222222,30.9222222222,false
east,east_0290,topo-bathy.tt3,30,30,30,30,1,copernicus_a2_land_core,30,false,high,1,1,false,30.9222222222,30.9222222222,false
east,east_0291,topo-bathy.tt3,30,30,30,30,1,copernicus_a2_land_core,30,false,high,1,1,false,30.9222222222,30.9222222222,false
east,east_0292,topo-bathy.tt3,30,30,30,30,1,copernicus_a2_land_core,30,false,high,1,1,false,30.9222222222,30.9222222222,false
east,east_0293,topo-bathy.tt3,30,30,30,30,1,copernicus_a2_land_core,30,false,high,1,1,false,30.9222222222,30.9222222222,false
east,east_0294,topo-bathy.tt3,30,30,30,30,1,copernicus_a2_land_core,30,false,high,1,1,false,30.9222222222,30.9222222222,false
east,east_0295,topo-bathy.tt3,30,30,30,30,1,copernicus_a2_land_core,30,false,high,1,1,false,30.9222222222,30.9222222222,false
east,east_0296,topo-bathy.tt3,30,30,30,30,1,copernicus_a2_land_core,30,false,high,1,1,false,30.9222222222,30.9222222222,false
east,east_0297,topo-bathy.tt3,30,30,30,30,3,gmrt_shore_blend,54,unknown,mixed_blend,2,1,unknown,43.7306260454,43.7306260454,false
east,east_0298,topo-bathy.tt3,30,30,30,30,3,gmrt_shore_blend,54,unknown,mixed_blend,2,1,unknown,154.611111111,154.611111111,false
east,east_0299,topo-bathy.tt3,30,30,30,30,1,copernicus_a2_land_core,30,false,high,1,1,false,30.9222222222,30.9222222222,false
east,east_0300,topo-bathy.tt3,30,30,30,30,1,copernicus_a2_land_core,30,false,high,1,1,false,30.9222222222,30.9222222222,false
east,east_0301,topo-bathy.tt3,30,30,30,30,1,copernicus_a2_land_core,30,false,high,1,1,false,30.9222222222,30.9222222222,false
east,east_0302,topo-bathy.tt3,30,30,30,30,3,gmrt_shore_blend,54,unknown,mixed_blend,2,1,unknown,30.9222222222,30.9222222222,false
east,east_0303,topo-bathy.tt3,30,30,30,30,1,copernicus_a2_land_core,30,false,high,1,1,false,30.9222222222,30.9222222222,false
east,east_0304,topo-bathy.tt3,30,30,30,30,3,gmrt_shore_blend,54,unknown,mixed_blend,2,1,unknown,30.9222222222,30.9222222222,false
east,east_0305,topo-bathy.tt3,30,30,30,30,3,gmrt_shore_blend,54,unknown,mixed_blend,2,1,unknown,30.9222222222,30.9222222222,false
east,east_0306,topo-bathy.tt3,30,30,30,30,1,copernicus_a2_land_core,30,false,high,1,1,false,30.9222222222,30.9222222222,false
east,east_0307,topo-bathy.tt3,30,30,30,30,1,copernicus_a2_land_core,30,false,high,1,1,false,30.9222222222,30.9222222222,false
east,east_0308,topo-bathy.tt3,30,30,30,30,3,gmrt_shore_blend,54,unknown,mixed_blend,2,1,unknown,87.4612520908,87.4612520908,false
east,east_0309,topo-bathy.tt3,30,30,30,30,3,gmrt_shore_blend,54,unknown,mixed_blend,2,1,unknown,30.9222222222,30.9222222222,false
east,east_0310,topo-bathy.tt3,30,30,30,30,1,copernicus_a2_land_core,30,false,high,1,1,false,30.9222222222,30.9222222222,false
east,east_0311,topo-bathy.tt3,30,30,30,30,3,gmrt_shore_blend,54,unknown,mixed_blend,2,1,unknown,30.9222222222,30.9222222222,false
east,east_0312,topo-bathy.tt3,30,30,30,30,1,copernicus_a2_land_core,30,false,high,1,1,false,30.9222222222,30.9222222222,false
east,east_0313,topo-bathy.tt3,30,30,30,30,1,copernicus_a2_land_core,30,false,high,1,1,false,30.9222222222,30.9222222222,false
east,east_0314,topo-bathy.tt3,30,30,30,30,3,gmrt_shore_blend,54,unknown,mixed_blend,2,1,unknown,318.363763137,318.363763137,false
east,east_0315,topo-bathy.tt3,30,30,30,30,3,gmrt_shore_blend,54,unknown,mixed_blend,2,1,unknown,30.9222222222,30.9222222222,false
east,east_0316,topo-bathy.tt3,30,30,30,30,1,copernicus_a2_land_core,30,false,high,1,1,false,30.9222222222,30.9222222222,false
east,east_0317,topo-bathy.tt3,30,30,30,30,3,gmrt_shore_blend,54,unknown,mixed_blend,2,1,unknown,30.9222222222,30.9222222222,false
east,east_0318,topo-bathy.tt3,30,30,30,30,3,gmrt_shore_blend,54,unknown,mixed_blend,2,1,unknown,235.496628374,235.496628374,false
east,east_0319,topo-bathy.tt3,30,30,30,30,3,gmrt_shore_blend,54,unknown,mixed_blend,2,1,unknown,30.9222222222,30.9222222222,false
east,east_0320,topo-bathy.tt3,30,30,30,30,3,gmrt_shore_blend,54,unknown,mixed_blend,2,1,unknown,43.7306260454,43.7306260454,false
east,east_0321,topo-bathy.tt3,30,30,30,30,3,gmrt_shore_blend,54,unknown,mixed_blend,2,1,unknown,207.432572713,207.432572713,false
east,east_0322,topo-bathy.tt3,30,30,30,30,3,gmrt_shore_blend,54,unknown,mixed_blend,2,1,unknown,235.496628374,235.496628374,false
east,east_0323,topo-bathy.tt3,30,30,30,30,3,gmrt_shore_blend,54,unknown,mixed_blend,2,1,unknown,92.7666666667,92.7666666667,false
east,east_0324,topo-bathy.tt3,30,30,30,30,1,copernicus_a2_land_core,30,false,high,1,1,false,43.7306260454,43.7306260454,false
east,east_0325,topo-bathy.tt3,30,30,30,30,3,gmrt_shore_blend,54,unknown,mixed_blend,2,1,unknown,43.7306260454,43.7306260454,false
east,east_0326,topo-bathy.tt3,30,30,30,30,1,copernicus_a2_land_core,30,false,high,1,1,false,30.9222222222,30.9222222222,false
east,east_0327,topo-bathy.tt3,30,30,30,30,3,gmrt_shore_blend,54,unknown,mixed_blend,2,1,unknown,328.707731076,328.707731076,false
east,east_0328,topo-bathy.tt3,30,30,30,30,3,gmrt_shore_blend,54,unknown,mixed_blend,2,1,unknown,285.088802496,285.088802496,false
east,east_0329,topo-bathy.tt3,30,30,30,30,3,gmrt_shore_blend,54,unknown,mixed_blend,2,1,unknown,154.611111111,154.611111111,false
east,east_0330,topo-bathy.tt3,30,30,30,30,3,gmrt_shore_blend,54,unknown,mixed_blend,2,1,unknown,87.4612520908,87.4612520908,false
