side,station_id,station_index,alongshore_distance_m,normalized_along_gulf_coordinate,x_m,y_m,shoreline_tangent_x,shoreline_tangent_y,seaward_normal_x,seaward_normal_y,shoreline_curvature,source_topo_id_at_shoreline,native_resolution_m_at_shoreline,effective_resolution_m_at_shoreline,model_grid_spacing_m,source_elevation_at_shoreline_m,raw_source_class_value,raw_source_id,raw_source_class,raw_source_multibeam,raw_source_native_resolution_m,raw_source_confidence,source_overlap_count,distance_to_raw_source_boundary_m,distance_to_raw_source_boundary_censored
west,west_0264,264,132000,0.738514237085,83758.0692704,3234736.46459,0.857938721304,0.5137520321,0.5137520321,-0.857938721304,0.000729205145195,topo-bathy.tt3,30,30,30,0.198669260701,3,gmrt_shore_blend,blend to GMRT,unknown,54,mixed_blend,2,276.576763617,false
west,west_0265,265,132500,0.741311639498,84074.3352878,3235122.93149,0.507872111507,0.861432480438,0.861432480438,-0.507872111507,0.00142008080594,topo-bathy.tt3,30,30,30,0.0199130381417,3,gmrt_shore_blend,blend to GMRT,unknown,54,mixed_blend,2,30.9222222222,false
west,west_0266,266,133000,0.744109041911,84246.242751,3235564.48504,-0.379112379711,0.925350638164,0.925350638164,0.379112379711,0.00191394700274,topo-bathy.tt3,30,30,30,0.317015292396,5,gmrt_core,GMRT core,unknown,54,high,1,61.8444444444,false
west,west_0267,267,133500,0.746906444324,83901.9396607,3235543.72071,-0.982086835479,0.18842889263,0.18842889263,0.982086835479,-0.000849815142533,topo-bathy.tt3,30,30,30,0.02247270538,3,gmrt_shore_blend,blend to GMRT,unknown,54,mixed_blend,2,276.576763617,false
west,west_0268,268,134000,0.749703846738,83777.8003341,3235654.36313,0.444824467299,0.895617771871,0.895617771871,-0.444824467299,-0.00246140752958,topo-bathy.tt3,30,30,30,-0.0676120708849,3,gmrt_shore_blend,blend to GMRT,unknown,54,mixed_blend,2,123.688888889,false
west,west_0269,269,134500,0.752501249151,84128.9527514,3236000.79305,0.882039493144,0.471175479555,0.471175479555,-0.882039493144,-0.000397513897037,topo-bathy.tt3,30,30,30,0.0103623653908,3,gmrt_shore_blend,blend to GMRT,unknown,54,mixed_blend,2,249.302925706,false
west,west_0270,270,135000,0.755298651564,84521.9571749,3236051.88326,0.756857928938,0.653579433125,0.653579433125,-0.756857928938,0.000807801705369,topo-bathy.tt3,30,30,30,0.24845232184,3,gmrt_shore_blend,blend to GMRT,unknown,54,mixed_blend,2,30.9222222222,false
west,west_0271,271,135500,0.758096053977,84692.9189826,3236487.80219,0.269016395723,0.963135597324,0.963135597324,-0.269016395723,0.000411445416867,topo-bathy.tt3,30,30,30,0.00892771355848,3,gmrt_shore_blend,blend to GMRT,unknown,54,mixed_blend,2,345.720954521,false
west,west_0272,272,136000,0.76089345639,84780.0653759,3236975.96521,0.432304387482,0.901727739711,0.901727739711,-0.432304387482,-0.000349072606153,topo-bathy.tt3,30,30,30,-0.0253632887364,3,gmrt_shore_blend,blend to GMRT,unknown,54,mixed_blend,2,43.7306260454,false
west,west_0273,273,136500,0.763690858804,85103.3433844,3237343.89127,0.582209989671,0.81303845415,0.81303845415,-0.582209989671,-7.06606351914e-05,topo-bathy.tt3,30,30,30,0.0583324496715,3,gmrt_shore_blend,blend to GMRT,unknown,54,mixed_blend,2,127.495588401,false
