side,station_id,alongshore_distance_m,normalized_along_gulf_coordinate,x_m,y_m,representation,common_scale_m,shoreline_curvature,channel_axis_orientation_deg,source_topo_id,native_resolution_m,effective_resolution_m,model_grid_spacing_m,raw_source_class_value,raw_source_id,raw_source_class,raw_source_native_resolution_m,raw_source_multibeam,raw_source_confidence,source_overlap_count,distance_to_raw_source_boundary_m,distance_to_raw_source_boundary_censored,multibeam_coverage,distance_to_resolution_boundary_m,depth_at_100m_offshore,depth_at_250m_offshore,depth_at_500m_offshore,depth_at_1000m_offshore,depth_at_2000m_offshore,distance_to_5m_isobath,distance_to_10m_isobath,distance_to_20m_isobath,distance_to_50m_isobath,distance_to_100m_isobath,mean_abs_slope_0_250m,slope_angle_0_250m_deg,mean_abs_slope_250_500m,slope_angle_250_500m_deg,mean_abs_slope_500_1000m,slope_angle_500_1000m_deg,mean_abs_slope_1000_2000m,slope_angle_1000_2000m_deg,isobath_spacing_5_10m,isobath_spacing_10_20m,isobath_spacing_20_50m,isobath_spacing_50_100m,channel_anomaly_100m,channel_anomaly_250m,channel_anomaly_500m,channel_anomaly_1000m,integrated_positive_channel_anomaly_0_1000m,max_positive_channel_anomaly_0_1000m,contiguous_positive_channel_run_length_m,channel_persistence_scale_count
east,east_0071,35500,0.206063513101,85552.1890104,3156273.70475,common,500,-0.000122031447677,68.042506727,topo-bathy.tt3,30,30,30,1,copernicus_a2_land_core,land/a2 core,30,false,high,1,43.7306260454,false,false,43.7306260454,115.180478527,145.851927053,275.832175615,587.961952682,934.621344044,0,0,3.99903321534,19.2228504324,44.5958791276,0.534929630669,28.143646472,0.51992099425,27.4708683057,0.624259554135,31.9748656049,0.346659391361,19.1193542058,0,3.99903321534,15.2238172171,25.3730286952,0,0,15.3867296532,13.4986293896,9144.68096733,15.3867296532,500,4
east,east_0071,35500,0.206063513101,85552.1890104,3156273.70475,common,1000,-0.000122031447677,68.042506727,topo-bathy.tt3,30,30,30,1,copernicus_a2_land_core,land/a2 core,30,false,high,1,43.7306260454,false,false,43.7306260454,176.000826211,225.567918872,301.267548408,574.530949581,892.27778023,0,0,2.65614143454,12.7677382943,29.6203997272,0.853793597948,40.4904876123,0.302798518144,16.8462346195,0.546526802346,28.657786928,0.317746830649,17.6274896546,0,2.65614143454,10.1115968597,16.8526614329,0,4.35812478439,10.8506602536,0,4940.62255199,10.8506602536,250,4
east,east_0072,36000,0.208965816102,85637.0054091,3156690.47266,common,250,5.50003675444e-05,74.9819911656,topo-bathy.tt3,30,30,30,3,gmrt_shore_blend,blend to GMRT,54,unknown,mixed_blend,2,30.9222222222,false,unknown,30.9222222222,91.871013674,121.875888657,264.031744655,614.425373564,980.647112728,0,0.387559406104,8.77481327988,33.9365749012,142.109505543,0.449351880253,24.1968567264,0.568623423991,29.6235743966,0.700787257819,35.022281856,0.366221739164,20.1138288739,0.387559406104,8.38725387378,25.1617616213,108.172930641,-23.1155403644,-23.4430041612,-1.27036590869,23.8831700784,5970.79251961,23.8831700784,0,4
east,east_0072,36000,0.208965816102,85637.0054091,3156690.47266,common,500,5.50003675444e-05,74.9819911656,topo-bathy.tt3,30,30,30,3,gmrt_shore_blend,blend to GMRT,54,unknown,mixed_blend,2,30.9222222222,false,unknown,30.9222222222,90.7640925547,127.814134336,252.137407222,610.251099862,960.836661867,0,0.302711353621,6.85375084153,26.5068693052,148.849819713,0.473104862969,25.3190587906,0.497293091543,26.4408413375,0.71622738528,35.6112754072,0.350585562004,19.319929608,0.302711353621,6.5510394879,19.6531184637,122.342950408,-32.2379991174,-31.491179993,-21.3257975993,22.2891471796,5572.28679491,22.2891471796,0,4
east,east_0072,36000,0.208965816102,85637.0054091,3156690.47266,common,1000,5.50003675444e-05,74.9819911656,topo-bathy.tt3,30,30,30,3,gmrt_shore_blend,blend to GMRT,54,unknown,mixed_blend,2,30.9222222222,false,unknown,30.9222222222,157.405497209,202.054159238,284.18500029,593.943015634,923.152312336,0,0.173175045126,3.92089228587,15.1640440081,33.9026302119,0.770064962577,37.5986077437,0.328523364206,18.1865601166,0.619516030689,31.7788785789,0.329209296702,18.2220254666,0.173175045126,3.74771724075,11.2431517222,18.7385862037,-28.0940416082,-23.513759634,-17.0825481187,18.0385912939,4509.64782349,18.0385912939,0,4
east,east_0073,36500,0.211868119104,85781.3605135,3157127.9104,common,250,-0.000318856697067,71.193795659,topo-bathy.tt3,30,30,30,3,gmrt_shore_blend,blend to GMRT,54,unknown,mixed_blend,2,69.1441909042,false,unknown,69.1441909042,134.891359965,161.155449363,265.302110564,582.615439106,1031.13159568,0.953884184603,3.04962595131,7.24110948474,19.815560085,40.7729777521,0.633724867303,32.3634517044,0.416586644803,22.6159581639,0.634626657085,32.4003006036,0.448516156575,24.157005062,2.09574176671,4.19148353342,12.5744506003,20.9574176671,19.9048059269,0,0.226687805129,-7.92676437974,1577.86837144,19.9048059269,0,4
east,east_0073,36500,0.211868119104,85781.3605135,3157127.9104,common,500,-0.000318856697067,71.193795659,topo-bathy.tt3,30,30,30,3,gmrt_shore_blend,blend to GMRT,54,unknown,mixed_blend,2,69.1441909042,false,unknown,69.1441909042,136.444128282,164.296682843,260.445445962,574.463323293,1014.74021912,0.889682944624,2.84437066906,6.75374611794,18.4818724646,38.0287497089,0.646289801224,32.8741738806,0.384595052475,21.0364961945,0.628035754662,32.1302901115,0.440276895823,23.7627848268,1.95468772444,3.90937544888,11.7281263466,19.5468772444,0.679516928875,18.4447557906,0,-13.4986293896,3739.91492779,18.4447557906,150,4
east,east_0073,36500,0.211868119104,85781.3605135,3157127.9104,common,1000,-0.000318856697067,71.193795659,topo-bathy.tt3,30,30,30,3,gmrt_shore_blend,blend to GMRT,54,unknown,mixed_blend,2,69.1441909042,false,unknown,69.1441909042,186.004890698,221.209794088,290.416888155,575.90442434,980.038597318,0.661101102114,2.11358056879,5.01853950213,13.7334163022,28.2582109689,0.873942246203,41.1515823089,0.276828376267,15.4735985549,0.570975072371,29.7252898471,0.404134172978,22.0053167865,1.45247946667,2.90495893334,8.71487680003,14.5247946667,10.0040644868,0,0,0,750.304836511,10.0040644868,0,4
east,east_0074,37000,0.214770422105,85944.776502,3157594.22351,common,250,-0.000295085817278,56.7128481542,topo-bathy.tt3,30,30,30,3,gmrt_shore_blend,blend to GMRT,54,unknown,mixed_blend,2,111.491657774,false,unknown,111.491657774,136.527344108,166.752032939,265.075422759,592.566257911,932.838198698,2.00625444347,4.15308135134,8.44673516707,21.3276966143,42.7959656929,0.665698548167,33.6516486778,0.393293559279,21.4693947425,0.654981670306,33.2240638785,0.340271940787,18.7919985934,2.14682690787,4.29365381573,12.8809614472,21.4682690787,22.1184021049,0,0,9.95081880513,4146.58485915,22.1184021049,0,4
east,east_0074,37000,0.214770422105,85944.776502,3157594.22351,common,500,-0.000295085817278,56.7128481542,topo-bathy.tt3,30,30,30,3,gmrt_shore_blend,blend to GMRT,54,unknown,mixed_blend,2,111.491657774,false,unknown,111.491657774,135.764611353,159.305314329,273.463204821,592.346701841,919.706971653,1.7627243595,3.64895773257,7.4214244787,18.7388247171,37.6011584477,0.635911673728,32.4527569779,0.456631561968,24.5429354122,0.637766994038,32.5283864059,0.327360269812,18.1263906919,1.88623337306,3.77246674613,11.3174002384,18.8623337306,0,0,13.0177588595,17.8833785477,9352.50420925,17.8833785477,500,4
east,east_0074,37000,0.214770422105,85944.776502,3157594.22351,common,1000,-0.000295085817278,56.7128481542,topo-bathy.tt3,30,30,30,3,gmrt_shore_blend,blend to GMRT,54,unknown,mixed_blend,2,111.491657774,false,unknown,111.491657774,185.499538817,230.670748348,306.627813291,578.298125561,893.735629615,1.36318184712,2.82187791592,5.73927005352,14.4914464663,29.0784071543,0.921373409804,42.6566452015,0.303828259772,16.9002638315,0.54334062454,28.5170304272,0.315437504053,17.5072288353,1.4586960688,2.9173921376,8.75217641281,14.586960688,0,9.46095426042,16.2109251365,2.39370122101,8569.71308353,16.2109251365,750,4
east,east_0075,37500,0.217672725107,86300.4622449,3157918.55358,common,250,-3.16887789323e-05,54.2866237348,topo-bathy.tt3,30,30,30,1,copernicus_a2_land_core,land/a2 core,30,false,high,1,43.7306260454,false,false,43.7306260454,110.612861951,177.367313852,201.22165721,508.131928997,824.525729589,1.4030614166,4.12837550589,9.57900368447,25.9308882202,67.7507729183,0.69976576708,34.9830121216,0.0954173734338,5.45051141109,0.613820543574,31.5424573513,0.316393800592,17.5570484559,2.72531408929,5.45062817858,16.3518845357,41.8198846981,-3.79608005168,10.6152809129,-64.0804533535,-60.9013270102,2123.05618257,10.6152809129,0,3
east,east_0075,37500,0.217672725107,86300.4622449,3157918.55358,common,500,-3.16887789323e-05,54.2866237348,topo-bathy.tt3,30,30,30,1,copernicus_a2_land_core,land/a2 core,30,false,high,1,43.7306260454,false,false,43.7306260454,138.100494652,143.282247757,242.942783446,509.580030685,806.964580436,0.959793586305,2.82410184296,6.55271835627,17.7385678962,36.3816504628,0.563425502699,29.398019553,0.398642142758,21.7343095739,0.533274494477,28.0698622209,0.297384549751,16.5616644884,1.86430825666,3.72861651331,11.1858495399,18.6430825666,2.33588329865,-16.0230665728,-25.8491025431,-53.9597362177,175.191247399,2.33588329865,0,3
east,east_0075,37500,0.217672725107,86300.4622449,3157918.55358,common,1000,-3.16887789323e-05,54.2866237348,topo-bathy.tt3,30,30,30,1,copernicus_a2_land_core,land/a2 core,30,false,high,1,43.7306260454,false,false,43.7306260454,162.377864867,201.589682979,265.195526107,495.750267615,774.381657282,0.862377151556,2.53746319811,5.88763529123,15.9381515706,32.6890120362,0.796655243588,38.5427635296,0.254423372513,14.2745263964,0.461109483015,24.7548748553,0.278631389668,15.5695058891,1.67508604656,3.35017209312,10.0505162794,16.7508604656,-23.1216739502,-19.620111109,-27.1372198058,-42.6440968177,0,0,0,3
east,east_0076,38000,0.220575028108,86473.8442771,3158330.13662,common,250,-0.000269609651481,54.8972148634,topo-bathy.tt3,30,30,30,3,gmrt_shore_blend,blend to GMRT,54,unknown,mixed_blend,2,111.491657774,false,unknown,111.491657774,114.408942003,171.287017189,315.957645575,508.792235307,827.782282841,3.27778740828,5.56000918974,10.1244527526,23.8177834414,46.6400012559,0.693872598817,34.7557210264,0.578682513545,30.0572159584,0.385669179463,21.0900897739,0.318990047534,17.6921653054,2.28222178145,4.5644435629,13.6933306887,22.8222178145,0,4.53498425018,49.4363994901,-10.4609891619,19445.6466588,49.4363994901,250,4
