side,station_id,alongshore_distance_m,normalized_along_gulf_coordinate,x_m,y_m,representation,common_scale_m,shoreline_curvature,channel_axis_orientation_deg,source_topo_id,native_resolution_m,effective_resolution_m,model_grid_spacing_m,raw_source_class_value,raw_source_id,raw_source_class,raw_source_native_resolution_m,raw_source_multibeam,raw_source_confidence,source_overlap_count,distance_to_raw_source_boundary_m,distance_to_raw_source_boundary_censored,multibeam_coverage,distance_to_resolution_boundary_m,depth_at_100m_offshore,depth_at_250m_offshore,depth_at_500m_offshore,depth_at_1000m_offshore,depth_at_2000m_offshore,distance_to_5m_isobath,distance_to_10m_isobath,distance_to_20m_isobath,distance_to_50m_isobath,distance_to_100m_isobath,mean_abs_slope_0_250m,slope_angle_0_250m_deg,mean_abs_slope_250_500m,slope_angle_250_500m_deg,mean_abs_slope_500_1000m,slope_angle_500_1000m_deg,mean_abs_slope_1000_2000m,slope_angle_1000_2000m_deg,isobath_spacing_5_10m,isobath_spacing_10_20m,isobath_spacing_20_50m,isobath_spacing_50_100m,channel_anomaly_100m,channel_anomaly_250m,channel_anomaly_500m,channel_anomaly_1000m,integrated_positive_channel_anomaly_0_1000m,max_positive_channel_anomaly_0_1000m,contiguous_positive_channel_run_length_m,channel_persistence_scale_count
west,west_0300,150000,0.83922072396,86438.654227,3249570.42322,native,0,-0.000790526781203,80.6549612504,topo-bathy.tt3,30,30,30,3,gmrt_shore_blend,blend to GMRT,54,unknown,mixed_blend,2,185.533333333,false,unknown,185.533333333,3.93460553531,7.75013840017,13.2450092262,30.5480066101,87.2174205482,134.587654791,371.702369612,715.071186864,1434.13754238,nan,0.0306440102597,1.75522317551,0.0219794833041,1.25912889457,0.0346059947678,1.98198650614,0.0566694139381,3.24344918597,237.114714821,343.368817252,719.066355512,nan,0.0596610081287,0,0,-1.02988672309,4.47457560965,0.0596610081287,0,2
west,west_0301,150500,0.842018126373,86633.4753607,3249996.84322,native,0,-0.000821464580957,49.7978099466,topo-bathy.tt3,30,30,30,3,gmrt_shore_blend,blend to GMRT,54,unknown,mixed_blend,2,276.576763617,false,unknown,276.576763617,4.65775508431,10.0749325197,17.2122860645,29.4779039297,68.9171394963,108.744832487,247.774717226,648.360073118,1609.55110074,nan,0.0400242565941,2.29199762163,0.0285494141792,1.63531673788,0.0245312357304,1.40525443343,0.0394392355666,2.25853121724,139.029884738,400.585355892,961.191027626,nan,0.815935434292,0.919315510646,0,-2.62603269676,245.058259701,0.919315510646,150,3
west,west_0302,151000,0.844815528786,87041.6053138,3250283.86417,native,0,-7.92951013796e-05,33.5885077421,topo-bathy.tt3,30,30,30,3,gmrt_shore_blend,blend to GMRT,54,unknown,mixed_blend,2,185.533333333,false,unknown,185.533333333,3.36501379672,9.15561700902,21.3025819443,37.1755519765,67.7758697668,145.454662326,268.778053491,469.796160875,1470.18066539,nan,0.036351238097,2.08185584915,0.0485878597413,2.78169168763,0.0317459400643,1.81829771676,0.0306003177904,1.75272212669,123.323391165,201.018107383,1000.38450452,nan,-0.569591738586,-0.919315510646,0,0,0,0,0,0
west,west_0303,151500,0.8476129312,87457.8249151,3250544.30145,native,0,0.000449882482472,45.2545353014,topo-bathy.tt3,30,30,30,3,gmrt_shore_blend,blend to GMRT,54,unknown,mixed_blend,2,154.611111111,false,unknown,154.611111111,3.84181965002,11.2756516406,29.2275186507,62.9679810519,128.654560191,125.773510283,226.541823618,379.632318509,791.024036196,1610.60998423,0.0452905908896,2.59318759713,0.0718074680403,4.10721517524,0.0674809248024,3.86051943703,0.0656865791392,3.75816480912,100.768313335,153.090494891,411.391717687,819.58594803,-0.815935434292,0,0,0,0,0,0,0
west,west_0304,152000,0.850410333613,87719.9551451,3250968.26804,native,0,0.00023889659281,59.3648752646,topo-bathy.tt3,30,30,30,3,gmrt_shore_blend,blend to GMRT,54,unknown,mixed_blend,2,216.455555556,false,unknown,216.455555556,7.20031604157,24.3280931761,52.5303031884,85.7251502246,148.883230648,72.9454892111,128.002186663,214.667421395,476.417030502,1251.49079297,0.097308456032,5.55786556147,0.112808840049,6.43626020528,0.0663896940724,3.79827540196,0.0631580804239,3.61389134882,55.0566974523,86.6652347311,261.749609107,775.073762467,0,0,1.71161060847,0,641.853978176,1.71161060847,0,4
west,west_0305,152500,0.853207736026,87966.2603927,3251402.81727,native,0,-8.38534154348e-05,58.9423018095,topo-bathy.tt3,30,30,30,3,gmrt_shore_blend,blend to GMRT,54,unknown,mixed_blend,2,264.19958248,false,unknown,264.19958248,10.9416540195,30.3958525118,57.2060910996,94.0493299877,157.339382431,47.9201885097,91.77635856,171.08824922,425.278856895,1104.01074943,0.121524421104,6.92886083548,0.107240954351,6.12106027514,0.0736864777761,4.21430772507,0.0632900524429,3.62142268364,43.8561700503,79.3118906604,254.190607674,678.731892533,3.74133797789,6.06775933571,6.3873985197,8.32417976309,5970.47160114,8.32417976309,900,4
west,west_0306,153000,0.856005138439,88234.8951367,3251823.32051,native,0,6.83112056529e-05,54.5604284624,topo-bathy.tt3,30,30,30,3,gmrt_shore_blend,blend to GMRT,54,unknown,mixed_blend,2,304.548569582,false,unknown,304.548569582,8.66427930479,24.5437283988,50.8186925799,92.3036860082,162.136057469,59.6715929461,113.836569887,210.615196141,491.76408246,1118.59777016,0.0983067625274,5.61452230874,0.105099856724,5.99975186903,0.0829699868566,4.74296642423,0.0698323714606,3.99461525348,54.1649769411,96.7786262538,281.148886319,626.833687695,1.46396326323,0.21563522272,0,6.57853578365,1797.5582352,6.57853578365,150,4
west,west_0307,153500,0.858802540852,88543.460971,3252213.83056,native,0,-0.000328570121526,62.8562455869,topo-bathy.tt3,30,30,30,3,gmrt_shore_blend,blend to GMRT,54,unknown,mixed_blend,2,276.576763617,false,unknown,276.576763617,4.76344410625,15.2501992825,33.9878408481,69.8412895431,162.671590795,103.758997875,179.862513423,315.052515775,712.257121483,1396.90407622,0.0610341068577,3.49266411565,0.0749505662627,4.28633681674,0.07170689739,4.10148241993,0.092830301252,5.30358483895,76.1035155478,135.190002352,397.204605709,684.646954738,0,0,0,0,0,0,0,0
west,west_0308,154000,0.861599943266,88671.0463943,3252674.03219,native,0,-0.00121232324759,35.7347472248,topo-bathy.tt3,30,30,30,3,gmrt_shore_blend,blend to GMRT,54,unknown,mixed_blend,2,218.653130227,false,unknown,218.653130227,2.69712536343,4.36722717447,13.1577714418,54.9655687181,139.701197288,294.898373418,442.500456668,597.77534376,943.136919766,1530.99267493,0.0168461869658,0.965124122123,0.0351621770692,2.01381467216,0.0836155945526,4.77970215809,0.08473562857,4.84342387139,147.60208325,155.274887092,345.361576006,587.855755166,-2.06631874282,-10.882972108,-20.8300694064,-14.8757208251,0,0,0,0
west,west_0309,154500,0.864397345679,89027.4287777,3252562.04195,native,0,-0.000323315812244,-6.60475990567,topo-bathy.tt3,30,30,30,3,gmrt_shore_blend,blend to GMRT,54,unknown,mixed_blend,2,207.432572713,false,unknown,207.432572713,3.96462517982,11.5711620347,27.029109932,64.0614253411,97.275078316,120.826062133,219.235234507,395.679604954,817.889770697,nan,0.046967957075,2.68908950734,0.0618317915894,3.5381962432,0.0740646308182,4.23585669255,0.0332136529749,1.90230283694,98.4091723741,176.444370447,422.210165743,nan,0,-3.67903724781,-6.95873091614,-5.77986420204,0,0,0,0
