case_id,requested_time_min_s,side,representation,common_scale_m,response,predictor,boundary_exclusion_m,raw_source_class_subset,matched_resolution_subset,spearman_rho,block_bootstrap_ci_low,block_bootstrap_ci_high,sample_count,same_sign_case_count
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,distance_to_20m_isobath,0,copernicus_a2_land_core,all,0,0,0,3,3
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,distance_to_50m_isobath,0,copernicus_a2_land_core,all,0,0,0,3,3
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,mean_slope_0_500m,0,copernicus_a2_land_core,all,-0.866025403784,-0.866025403784,-0.866025403784,3,3
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,mean_slope_0_1000m,0,copernicus_a2_land_core,all,-0.866025403784,-0.866025403784,-0.866025403784,3,3
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,integrated_channel_anomaly_0_1000m,0,copernicus_a2_land_core,all,-0.866025403784,-0.866025403784,-0.866025403784,3,3
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,isobath_convergence_20m,0,copernicus_a2_land_core,all,0,0,0,3,3
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,isobath_convergence_50m,0,copernicus_a2_land_core,all,0,0,0,3,3
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,shoreline_curvature_500m,0,copernicus_a2_land_core,all,-0.866025403784,-0.866025403784,-0.866025403784,3,3
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,distance_to_source_boundary,0,copernicus_a2_land_core,all,-0.5,-0.5,-0.5,3,2
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,raw_source_native_resolution,0,copernicus_a2_land_core,all,nan,nan,nan,3,0
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,velocity_isobath_alignment,0,copernicus_a2_land_core,all,-0.866025403784,-0.866025403784,-0.866025403784,3,3
aqaba_lsa_c10_angm25,900,east,native,0.0,median_frame_local_top3_mean_speed_mps,distance_to_20m_isobath,0,copernicus_a2_land_core,raw_30m_only,-0.5,-0.5,-0.5,3,3
aqaba_lsa_c10_angm25,900,east,native,0.0,median_frame_local_top3_mean_speed_mps,distance_to_50m_isobath,0,copernicus_a2_land_core,raw_30m_only,-0.5,-0.5,-0.5,3,3
aqaba_lsa_c10_angm25,900,east,native,0.0,median_frame_local_top3_mean_speed_mps,mean_slope_0_500m,0,copernicus_a2_land_core,raw_30m_only,0.5,0.5,0.5,3,3
aqaba_lsa_c10_angm25,900,east,native,0.0,median_frame_local_top3_mean_speed_mps,mean_slope_0_1000m,0,copernicus_a2_land_core,raw_30m_only,1,1,1,3,2
aqaba_lsa_c10_angm25,900,east,native,0.0,median_frame_local_top3_mean_speed_mps,integrated_channel_anomaly_0_1000m,0,copernicus_a2_land_core,raw_30m_only,1,1,1,3,2
aqaba_lsa_c10_angm25,900,east,native,0.0,median_frame_local_top3_mean_speed_mps,isobath_convergence_20m,0,copernicus_a2_land_core,raw_30m_only,-0.5,-0.5,-0.5,3,3
aqaba_lsa_c10_angm25,900,east,native,0.0,median_frame_local_top3_mean_speed_mps,isobath_convergence_50m,0,copernicus_a2_land_core,raw_30m_only,-0.5,-0.5,-0.5,3,3
aqaba_lsa_c10_angm25,900,east,native,0.0,median_frame_local_top3_mean_speed_mps,shoreline_curvature_500m,0,copernicus_a2_land_core,raw_30m_only,0.5,0.5,0.5,3,2
aqaba_lsa_c10_angm25,900,east,native,0.0,median_frame_local_top3_mean_speed_mps,distance_to_source_boundary,0,copernicus_a2_land_core,raw_30m_only,0.866025403784,0.866025403784,0.866025403784,3,3
aqaba_lsa_c10_angm25,900,east,native,0.0,median_frame_local_top3_mean_speed_mps,raw_source_native_resolution,0,copernicus_a2_land_core,raw_30m_only,nan,nan,nan,3,0
aqaba_lsa_c10_angm25,900,east,native,0.0,median_frame_local_top3_mean_speed_mps,velocity_isobath_alignment,0,copernicus_a2_land_core,raw_30m_only,0.5,0.5,0.5,3,2
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,distance_to_20m_isobath,0,copernicus_a2_land_core,raw_30m_only,0,0,0,3,3
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,distance_to_50m_isobath,0,copernicus_a2_land_core,raw_30m_only,0,0,0,3,3
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,mean_slope_0_500m,0,copernicus_a2_land_core,raw_30m_only,-0.866025403784,-0.866025403784,-0.866025403784,3,3
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,mean_slope_0_1000m,0,copernicus_a2_land_core,raw_30m_only,-0.866025403784,-0.866025403784,-0.866025403784,3,3
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,integrated_channel_anomaly_0_1000m,0,copernicus_a2_land_core,raw_30m_only,-0.866025403784,-0.866025403784,-0.866025403784,3,3
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,isobath_convergence_20m,0,copernicus_a2_land_core,raw_30m_only,0,0,0,3,3
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,isobath_convergence_50m,0,copernicus_a2_land_core,raw_30m_only,0,0,0,3,3
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,shoreline_curvature_500m,0,copernicus_a2_land_core,raw_30m_only,-0.866025403784,-0.866025403784,-0.866025403784,3,3
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,distance_to_source_boundary,0,copernicus_a2_land_core,raw_30m_only,-0.5,-0.5,-0.5,3,2
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,raw_source_native_resolution,0,copernicus_a2_land_core,raw_30m_only,nan,nan,nan,3,0
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,velocity_isobath_alignment,0,copernicus_a2_land_core,raw_30m_only,-0.866025403784,-0.866025403784,-0.866025403784,3,3
aqaba_lsa_c10_angm25,900,east,native,0.0,median_frame_local_top3_mean_speed_mps,distance_to_20m_isobath,0,gmrt_shore_blend,all,-0.0285714285714,-0.4,0.5,6,5
aqaba_lsa_c10_angm25,900,east,native,0.0,median_frame_local_top3_mean_speed_mps,distance_to_50m_isobath,0,gmrt_shore_blend,all,0.3,0.2,0.5,6,3
aqaba_lsa_c10_angm25,900,east,native,0.0,median_frame_local_top3_mean_speed_mps,mean_slope_0_500m,0,gmrt_shore_blend,all,0.142857142857,-0.8,0.5,6,4
aqaba_lsa_c10_angm25,900,east,native,0.0,median_frame_local_top3_mean_speed_mps,mean_slope_0_1000m,0,gmrt_shore_blend,all,0.0857142857143,-0.5,1,6,3
aqaba_lsa_c10_angm25,900,east,native,0.0,median_frame_local_top3_mean_speed_mps,integrated_channel_anomaly_0_1000m,0,gmrt_shore_blend,all,-0.0579771035652,-0.866025403784,0.666885928855,6,4
aqaba_lsa_c10_angm25,900,east,native,0.0,median_frame_local_top3_mean_speed_mps,isobath_convergence_20m,0,gmrt_shore_blend,all,-0.0285714285714,-0.4,0.5,6,5
aqaba_lsa_c10_angm25,900,east,native,0.0,median_frame_local_top3_mean_speed_mps,isobath_convergence_50m,0,gmrt_shore_blend,all,0.3,0.2,0.5,6,3
aqaba_lsa_c10_angm25,900,east,native,0.0,median_frame_local_top3_mean_speed_mps,shoreline_curvature_500m,0,gmrt_shore_blend,all,0.257142857143,-0.4,1,6,3
aqaba_lsa_c10_angm25,900,east,native,0.0,median_frame_local_top3_mean_speed_mps,distance_to_source_boundary,0,gmrt_shore_blend,all,0.0294244943168,-0.8,1,6,3
aqaba_lsa_c10_angm25,900,east,native,0.0,median_frame_local_top3_mean_speed_mps,raw_source_native_resolution,0,gmrt_shore_blend,all,nan,nan,nan,6,0
aqaba_lsa_c10_angm25,900,east,native,0.0,median_frame_local_top3_mean_speed_mps,velocity_isobath_alignment,0,gmrt_shore_blend,all,-0.657142857143,-1,0.2,6,3
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,distance_to_20m_isobath,0,gmrt_shore_blend,all,0.15179418518,-1,0.948683298051,6,3
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,distance_to_50m_isobath,0,gmrt_shore_blend,all,0.615587011251,0.615587011251,0.948683298051,6,3
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,mean_slope_0_500m,0,gmrt_shore_blend,all,-0.15179418518,-0.948683298051,0.5,6,3
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,mean_slope_0_1000m,0,gmrt_shore_blend,all,0.758970925899,0.632455532034,1,6,3
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,integrated_channel_anomaly_0_1000m,0,gmrt_shore_blend,all,0.0924061655451,-0.737864787373,0.866025403784,6,4
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,isobath_convergence_20m,0,gmrt_shore_blend,all,0.15179418518,-1,0.948683298051,6,3
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,isobath_convergence_50m,0,gmrt_shore_blend,all,0.615587011251,0.615587011251,0.948683298051,6,3
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,shoreline_curvature_500m,0,gmrt_shore_blend,all,-0.273229533324,-0.5,0.210818510678,6,4
aqaba_lsa_c10_angm25,900,east,native,0.0,frame_presence_fraction,distance_to_source_boundary,0,gmrt_shore_blend,all,-0.687835939429,-0.888888888889,-0.458831467741,6,3
