case_id,requested_time_min_s,side,station_id,alongshore_distance_m,displayed_arrow_count,frame_presence_fraction,median_frame_local_max_speed_mps,median_frame_local_top3_mean_speed_mps,max_speed_mps,unique_hotspot_count,recurrent_hotspot_count,median_u_parallel,median_u_normal,median_alignment_to_isobath_deg,median_alignment_to_shoreline_tangent_deg,median_u_parallel_isobath,median_u_downslope,raw_source_id,raw_source_native_resolution_m,raw_source_multibeam,distance_to_raw_source_boundary_m
aqaba_lsb_nc10_angm20,900,east,east_0116,58000,1,0.0416666666667,16.1323966592,16.1323966592,16.1323966592,1,0,-14.9418173307,-6.08245976784,11.3170664016,22.1500736449,-15.8187223647,3.16579290527,copernicus_a2_land_core,30,false,30.9222222222
aqaba_lsb_nc10_angm20,900,east,east_0077,38500,1,0.0416666666667,15.8678256878,15.8678256878,15.8678256878,1,0,-15.861179529,-0.459212376977,37.2340110747,1.65836237546,-12.6335008131,9.60117436899,gmrt_shore_blend,54,unknown,69.1441909042
aqaba_lsb_nc10_angm20,900,east,east_0065,32500,1,0.0416666666667,15.8351454551,15.8351454551,15.8351454551,1,0,15.5868517607,2.79318523789,51.2099572746,10.1596456383,9.92021764983,-12.3426542268,gmrt_shore_blend,54,unknown,61.8444444444
aqaba_lsb_nc10_angm20,900,west,west_0063,31500,1,0.0416666666667,12.2636008429,12.2636008429,12.2636008429,1,0,10.1696275869,-6.85380043299,25.1266035353,33.9779223551,-11.1031176022,-5.20736835107,gmrt_shore_blend,54,unknown,188.092534687
aqaba_lsb_nc10_angm20,900,west,west_0082,41000,2,0.0833333333333,7.26340429374,7.26340429374,8.07004879548,2,0,-3.94560185615,5.82748680952,61.1985924076,57.5345618529,3.56914585508,6.19647363673,gmrt_shore_blend,54,unknown,69.1441909042
aqaba_lsb_nc10_angm20,900,west,west_0045,22500,1,0.166666666667,7.9548959366,7.9548959366,7.9548959366,1,1,-0.422789405442,7.94365271653,74.6225561499,86.9533897455,-2.10945188175,7.67010965506,gmrt_shore_blend,54,unknown,276.576763617
aqaba_lsb_nc10_angm20,900,west,west_0151,75500,2,0.125,6.73983792113,6.73983792113,7.24221151327,2,1,-1.75292535052,6.50575246427,84.8524350296,75.0262868027,0.128847865685,6.71157028855,gmrt_shore_blend,54,unknown,328.707731076
aqaba_lsb_nc10_angm20,900,west,west_0081,40500,1,0.0416666666667,7.03021053806,7.03021053806,7.03021053806,1,0,-2.56784204887,6.54446693181,81.8337460106,68.5765263481,0.998612945768,6.95892465788,gmrt_shore_blend,54,unknown,30.9222222222
aqaba_lsb_nc10_angm20,900,west,west_0070,35000,1,0.0833333333333,6.52826190124,6.52826190124,6.52826190124,1,1,5.08692174887,4.09162932975,22.5408143233,38.8112122425,-6.02954640366,-2.50255341948,gmrt_shore_blend,54,unknown,30.9222222222
aqaba_lsb_nc10_angm20,900,west,west_0084,42000,1,0.0416666666667,6.0045353444,6.0045353444,6.0045353444,1,0,0.00280791295331,6.00453468787,81.1564415911,89.9732066583,-0.923119733169,5.93315216899,gmrt_shore_blend,54,unknown,235.496628374
